"Step","bc-coldstart-v2 - learning_rate","bc-coldstart-v2 - learning_rate__MIN","bc-coldstart-v2 - learning_rate__MAX"
"0","3.9946826291270554e-8","3.9946826291270554e-8","3.9946826291270554e-8"
"50","0.0000020372826838865876","0.0000020372826838865876","0.0000020372826838865876"
"100","0.000004034620360471308","0.000004034620360471308","0.000004034620360471308"
"150","0.000006031956218066625","0.000006031956218066625","0.000006031956218066625"
"200","0.000008029293894651346","0.000008029293894651346","0.000008029293894651346"
"250","0.000010026631571236067","0.000010026631571236067","0.000010026631571236067"
"300","0.000012023967428831384","0.000012023967428831384","0.000012023967428831384"
"350","0.000014021305105416104","0.000014021305105416104","0.000014021305105416104"
"400","0.000016018639144022018","0.000016018639144022018","0.000016018639144022018"
"450","0.00001801597682060674","0.00001801597682060674","0.00001801597682060674"
"500","0.00002001331449719146","0.00002001331449719146","0.00002001331449719146"
"550","0.00002201065217377618","0.00002201065217377618","0.00002201065217377618"
"600","0.0000240079898503609","0.0000240079898503609","0.0000240079898503609"
"650","0.000026005325707956217","0.000026005325707956217","0.000026005325707956217"
"700","0.000028002661565551534","0.000028002661565551534","0.000028002661565551534"
"750","0.000029999999242136255","0.000029999999242136255","0.000029999999242136255"
"800","0.000029999178877915256","0.000029999178877915256","0.000029999178877915256"
"850","0.000029996719604241662","0.000029996719604241662","0.000029996719604241662"
"900","0.00002999261960212607","0.00002999261960212607","0.00002999261960212607"
"950","0.000029986877052579075","0.000029986877052579075","0.000029986877052579075"
"1000","0.000029979499231558293","0.000029979499231558293","0.000029979499231558293"
"1050","0.00002997048432007432","0.00002997048432007432","0.00002997048432007432"
"1100","0.000029959830499137752","0.000029959830499137752","0.000029959830499137752"
"1150","0.0000299475432257168","0.0000299475432257168","0.0000299475432257168"
"1200","0.000029933618861832656","0.000029933618861832656","0.000029933618861832656"
"1250","0.000029918062864453532","0.000029918062864453532","0.000029918062864453532"
"1300","0.00002990087705256883","0.00002990087705256883","0.00002990087705256883"
"1350","0.00002988206506415736","0.00002988206506415736","0.00002988206506415736"
"1400","0.00002986162326124031","0.00002986162326124031","0.00002986162326124031"
"1450","0.000029839560738764703","0.000029839560738764703","0.000029839560738764703"
"1500","0.000029815875677741133","0.000029815875677741133","0.000029815875677741133"
"1550","0.00002979057353513781","0.00002979057353513781","0.00002979057353513781"
"1600","0.000029763657948933542","0.000029763657948933542","0.000029763657948933542"
"1650","0.00002973512891912833","0.00002973512891912833","0.00002973512891912833"
"1700","0.00002970499190269038","0.00002970499190269038","0.00002970499190269038"
